org,ts,esn,gpn,ufs,changeover,first,result,prep_plus_main (min)
G1,2024-05-20 18:02:10,3472459728,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.68
G1,2024-05-20 18:04:40,3472460159,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.52
G1,2024-05-20 18:13:59,3472460196,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.14
G1,2024-05-20 18:15:12,3472456434,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.08
G1,2024-05-20 18:15:40,3472460200,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.74
G1,2024-05-20 18:17:12,3472459527,010-02976-64,Micron Dorado-A 256GB,0,1,1,38.85
G1,2024-05-20 18:17:49,3472459525,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.97
G1,2024-05-20 18:18:26,3472459505,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.77
G1,2024-05-20 18:18:51,3472459524,010-02976-64,Micron Dorado-A 256GB,0,1,1,45.57
G1,2024-05-20 18:18:56,3472460253,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.4
G1,2024-05-20 18:19:23,3472460197,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.32
G1,2024-05-20 18:19:25,3472460202,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.35
G1,2024-05-20 18:20:39,3472459508,010-02976-64,Micron Dorado-A 256GB,0,1,1,45.04
G1,2024-05-20 18:21:36,3472459507,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.91
G1,2024-05-20 18:21:43,3472460250,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.21
G1,2024-05-20 18:22:03,3472459528,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.97
G1,2024-05-20 18:22:22,3472459590,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.88
G1,2024-05-20 18:23:54,3472460248,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.1
G1,2024-05-20 18:24:33,3472460246,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.15
G1,2024-05-20 18:24:54,3472460249,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.11
G1,2024-05-20 18:25:35,3472459510,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.63
G1,2024-05-20 18:26:29,3472460201,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.43
G1,2024-05-20 18:26:33,3472460240,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.18
G1,2024-05-20 18:27:00,3472459526,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.76
G1,2024-05-20 18:28:19,3472459721,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.89
G1,2024-05-20 18:28:29,3472459724,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.75
G1,2024-05-20 18:29:25,3472459722,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.94
G1,2024-05-20 18:29:42,3472460245,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.37
G1,2024-05-20 18:29:47,3472460252,010-02976-62,Micron Dorado-A 256GB,0,1,1,40.55
G1,2024-05-20 18:30:48,3472460247,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.17
G1,2024-05-20 18:31:05,3472460244,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.17
G1,2024-05-20 18:31:58,3472460242,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.07
G1,2024-05-20 18:32:44,3472460251,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.38
G1,2024-05-20 18:32:44,3472459725,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.08
G1,2024-05-20 18:33:37,3472460187,010-02976-62,Micron Dorado-A 256GB,0,1,1,43.82
G1,2024-05-20 18:33:41,3472460186,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.64
G1,2024-05-20 18:36:09,3472460204,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.57
G1,2024-05-20 18:37:54,3472460178,010-02976-62,Micron Dorado-A 256GB,0,1,1,42.28
G1,2024-05-20 18:38:18,3472460179,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.31
G1,2024-05-20 18:39:08,3472459627,010-02976-64,Micron Dorado-A 256GB,0,1,1,40
